INDEX,MACHINE_MIN,MACHINE_MAX,LASER_MIN,LASER_MAX
INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE
1,0,30,0,29.99
2,30,60,29.99,60.007
3,60,90,60.007,89.996
4,90,120,89.996,120.007
5,120,150,120.007,149.993
6,150,180,149.993,180.005
7,180,210,180.005,209.995
8,210,240,209.995,240.007
9,240,270,240.007,269.996
10,270,300,269.996,300.009
11,300,330,300.009,329.999
12,330,360,329.999,360.011
13,360,390,360.011,390.002
14,390,420,390.002,420.017
15,420,450,420.017,450
16,450,480,450,480.011
17,480,510,480.011,509.999
18,510,540,509.999,540.014
19,540,570,540.014,570.004
20,570,600,570.004,600.013
21,600,630,600.013,630.001
22,630,660,630.001,660.017
23,660,690,660.017,690.006
24,690,720,690.006,720.019
25,720,750,720.019,750.004
26,750,780,750.004,780.018
27,780,810,780.018,810.006
28,810,840,810.006,840.019
