INDEX,MACHINE_MIN,MACHINE_MAX,LASER_MIN,LASER_MAX
INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE
1,0,30,0,29.992
2,30,60,29.992,60.003
3,60,90,60.003,89.998
4,90,120,89.998,120.008
5,120,150,120.008,149.996
6,150,180,149.996,180.002
7,180,210,180.002,209.996
8,210,240,209.996,240.009
9,240,270,240.009,269.998
10,270,300,269.998,300.007
11,300,330,300.007,330.001
12,330,360,330.001,360.014
13,360,390,360.014,390.004
14,390,420,390.004,420.013
15,420,450,420.013,450
16,450,480,450,480.012
17,480,510,480.012,510.002
18,510,540,510.002,540.011
19,540,570,540.011,570.004
20,570,600,570.004,600.014
21,600,630,600.014,630.004
22,630,660,630.004,660.014
23,660,690,660.014,690.008
24,690,720,690.008,720.02
25,720,750,720.02,750.007
26,750,780,750.007,780.015
27,780,810,780.015,810.007
28,810,840,810.007,840.021
