INDEX,MACHINE_MIN,MACHINE_MAX,LASER_MIN,LASER_MAX
INT,DOUBLE,DOUBLE,DOUBLE,DOUBLE
1,0,30,0,29.9922
2,30,60,29.9922,60.0089
3,60,90,60.0089,89.994
4,90,120,89.994,120.006
5,120,150,120.006,149.996
6,150,180,149.996,180.007
7,180,210,180.007,209.991
8,210,240,209.991,240.001
9,240,270,240.001,269.99
10,270,300,269.99,300.003
11,300,330,300.003,329.994
12,330,360,329.994,360.004
13,360,390,360.004,389.994
14,390,420,389.994,420.004
15,420,450,420.004,449.992
16,450,480,449.992,480.002
17,480,510,480.002,509.99
18,510,540,509.99,540.004
19,540,570,540.004,569.992
20,570,600,569.992,600.007
21,600,630,600.007,629.989
22,630,660,629.989,660.001
23,660,690,660.001,689.987
24,690,720,689.987,719.998
25,720,750,719.998,749.99
26,750,780,749.99,780
27,780,810,780,809.989
28,810,840,809.989,840.002
