DATETIME,RECIPE,ANGLE,RESULT,MOVEMENT_HEAD1_X,MOVEMENT_HEAD2_X,MOVEMENT_HEAD3_X,MOVEMENT_HEAD4_X,MOVEMENT_Y,MOVEMENT_T,HEAD1_RESULT,HEAD1_PIXEL_X,HEAD1_PIXEL_Y,HEAD1_FILE,HEAD2_RESULT,HEAD2_PIXEL_X,HEAD2_PIXEL_Y,HEAD2_FILE,HEAD3_RESULT,HEAD3_PIXEL_X,HEAD3_PIXEL_Y,HEAD3_FILE,HEAD4_RESULT,HEAD4_PIXEL_X,HEAD4_PIXEL_Y,HEAD4_FILE
STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING
2017.01.07 00:13:08 967,TFT_SIDE5.46,0,RETRY,-0.2434,-0.2547,-0.24,-0.2301,0.0208,0.02701,True,752.739874498259,524.671366265368,.\Image\Alignment\2017\01\07\00.13.08 967\Head1.jpg,True,754.085935551811,498.859623108265,.\Image\Alignment\2017\01\07\00.13.08 967\Head2.jpg,True,750.113010264755,473.874443389532,.\Image\Alignment\2017\01\07\00.13.08 967\Head3.jpg,True,748.951948351131,446.839181053658,.\Image\Alignment\2017\01\07\00.13.08 967\Head4.jpg
2017.01.07 00:13:10 841,TFT_SIDE5.46,0,RETRY,-0.0024,-0.0037,-0.0058,-0.0025,0.0008,-0.00054,True,639.698237098461,479.430762722099,.\Image\Alignment\2017\01\07\00.13.10 841\Head1.jpg,True,637.856730354978,480.642539213316,.\Image\Alignment\2017\01\07\00.13.10 841\Head2.jpg,True,638.405197580076,482.33961416997,.\Image\Alignment\2017\01\07\00.13.10 841\Head3.jpg,True,639.724209917563,480.992893419403,.\Image\Alignment\2017\01\07\00.13.10 841\Head4.jpg
2017.01.07 00:13:12 468,TFT_SIDE5.46,0,OK,-0.0007,0.0063,0.0058,-0.0002,0,0,True,640.181024967781,480.105949720226,.\Image\Alignment\2017\01\07\00.13.12 468\Head1.jpg,True,638.327420488459,480.831367945069,.\Image\Alignment\2017\01\07\00.13.12 468\Head2.jpg,True,638.456608742003,482.07602937933,.\Image\Alignment\2017\01\07\00.13.12 468\Head3.jpg,True,640.062684807352,480.196551589231,.\Image\Alignment\2017\01\07\00.13.12 468\Head4.jpg
2017.01.07 00:13:32 350,TFT_SIDE5.46,90,RETRY,-0.0261,-0.0845,-0.0703,-0.0105,0.3726,0.01637,True,670.762356861986,606.811358076494,.\Image\Alignment\2017\01\07\00.13.32 350\Head1.jpg,True,672.875048596478,589.357645943247,.\Image\Alignment\2017\01\07\00.13.32 350\Head2.jpg,True,668.668958764756,579.942634678873,.\Image\Alignment\2017\01\07\00.13.32 350\Head3.jpg,True,666.08339396141,560.485958132802,.\Image\Alignment\2017\01\07\00.13.32 350\Head4.jpg
2017.01.07 00:13:34 250,TFT_SIDE5.46,90,RETRY,-0.0061,0.0491,0.0488,-0.0054,0.036,-0.00112,True,640.006964604962,487.745761383671,.\Image\Alignment\2017\01\07\00.13.34 250\Head1.jpg,True,626.403627341658,490.418811742045,.\Image\Alignment\2017\01\07\00.13.34 250\Head2.jpg,True,626.447740878324,490.87169197651,.\Image\Alignment\2017\01\07\00.13.34 250\Head3.jpg,True,639.771204954901,490.84922484497,.\Image\Alignment\2017\01\07\00.13.34 250\Head4.jpg
2017.01.07 00:13:35 932,TFT_SIDE5.46,90,OK,-0.0007,-0.0043,-0.0026,0.001,0,0,True,640.17681484141,479.476412475081,.\Image\Alignment\2017\01\07\00.13.35 932\Head1.jpg,True,641.13513571715,480.723017894573,.\Image\Alignment\2017\01\07\00.13.35 932\Head2.jpg,True,640.695890312766,480.75386881411,.\Image\Alignment\2017\01\07\00.13.35 932\Head3.jpg,True,639.745927513198,479.507167505175,.\Image\Alignment\2017\01\07\00.13.35 932\Head4.jpg
2017.01.07 00:17:17 783,TFT_SIDE5.46,0,RETRY,-0.2002,-0.13,-0.1158,-0.1867,0.0088,0.02666,True,740.566178612685,520.961692166668,.\Image\Alignment\2017\01\07\00.17.17 783\Head1.jpg,True,741.988065664855,507.381523811739,.\Image\Alignment\2017\01\07\00.17.17 783\Head2.jpg,True,738.164395098023,470.870290732715,.\Image\Alignment\2017\01\07\00.17.17 783\Head3.jpg,True,736.788114519492,444.116334376751,.\Image\Alignment\2017\01\07\00.17.17 783\Head4.jpg
2017.01.07 00:17:19 657,TFT_SIDE5.46,0,RETRY,-0.0005,-0.0812,-0.0838,0.0018,0.0576,3E-05,True,640.20658164746,495.407312517303,.\Image\Alignment\2017\01\07\00.17.19 657\Head1.jpg,True,659.872880980343,495.790605039126,.\Image\Alignment\2017\01\07\00.17.19 657\Head2.jpg,True,660.473699814689,496.789947875387,.\Image\Alignment\2017\01\07\00.17.19 657\Head3.jpg,True,639.516684120403,495.262932156107,.\Image\Alignment\2017\01\07\00.17.19 657\Head4.jpg
2017.01.07 00:17:21 546,TFT_SIDE5.46,0,RETRY,-0.0013,-0.0035,0.0009,-0.0037,0,-0.00016,True,640.077660405441,479.776032938204,.\Image\Alignment\2017\01\07\00.17.21 546\Head1.jpg,True,639.289558010444,480.957024463901,.\Image\Alignment\2017\01\07\00.17.21 546\Head2.jpg,True,638.104985607934,481.845117403282,.\Image\Alignment\2017\01\07\00.17.21 546\Head3.jpg,True,640.709268418509,480.230062973576,.\Image\Alignment\2017\01\07\00.17.21 546\Head4.jpg
