DATETIME,RECIPE,ANGLE,RESULT,MOVEMENT_HEAD1_X,MOVEMENT_HEAD2_X,MOVEMENT_HEAD3_X,MOVEMENT_HEAD4_X,MOVEMENT_Y,MOVEMENT_T,HEAD1_RESULT,HEAD1_PIXEL_X,HEAD1_PIXEL_Y,HEAD1_FILE,HEAD2_RESULT,HEAD2_PIXEL_X,HEAD2_PIXEL_Y,HEAD2_FILE,HEAD3_RESULT,HEAD3_PIXEL_X,HEAD3_PIXEL_Y,HEAD3_FILE,HEAD4_RESULT,HEAD4_PIXEL_X,HEAD4_PIXEL_Y,HEAD4_FILE
STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING
2017.01.02 00:00:08 969,TFT_SIDE5.46,0,RETRY,-0.3151,-0.3458,-0.3636,-0.348,0.1772,0.0116,True,744.663317976255,544.048217095803,.\Image\Alignment\2017\01\02\00.00.08 969\Head1.jpg,True,746.464529069599,533.58695067925,.\Image\Alignment\2017\01\02\00.00.08 969\Head2.jpg,True,750.924111348324,525.999746637844,.\Image\Alignment\2017\01\02\00.00.08 969\Head3.jpg,True,752.909096419124,510.768700296235,.\Image\Alignment\2017\01\02\00.00.08 969\Head4.jpg
2017.01.02 00:00:10 713,TFT_SIDE5.46,0,RETRY,0,0.0089,0.0091,0,0.0045,0.00041,True,640.72034767923,481.791329572648,.\Image\Alignment\2017\01\02\00.00.10 713\Head1.jpg,True,634.304276751696,481.635773082406,.\Image\Alignment\2017\01\02\00.00.10 713\Head2.jpg,True,634.251410846555,483.432299646616,.\Image\Alignment\2017\01\02\00.00.10 713\Head3.jpg,True,640.714702242333,480.600452136023,.\Image\Alignment\2017\01\02\00.00.10 713\Head4.jpg
2017.01.02 00:00:12 349,TFT_SIDE5.46,0,RETRY,-0.0029,0.0031,0.0013,-0.0015,0.0011,-0.00031,True,640.22830911102,479.844418323835,.\Image\Alignment\2017\01\02\00.00.12 349\Head1.jpg,True,636.132317627167,480.605373491547,.\Image\Alignment\2017\01\02\00.00.12 349\Head2.jpg,True,636.624634324965,482.250499082767,.\Image\Alignment\2017\01\02\00.00.12 349\Head3.jpg,True,639.853781688466,480.737693192163,.\Image\Alignment\2017\01\02\00.00.12 349\Head4.jpg
2017.01.02 00:00:14 094,TFT_SIDE5.46,0,RETRY,-0.0007,0.0082,0.0103,-0.0006,0,0,True,640.195862709297,480.190097680657,.\Image\Alignment\2017\01\02\00.00.14 094\Head1.jpg,True,637.81553819277,480.3330786712,.\Image\Alignment\2017\01\02\00.00.14 094\Head2.jpg,True,637.249782009252,482.05151650154,.\Image\Alignment\2017\01\02\00.00.14 094\Head3.jpg,True,640.150524483159,480.144769820264,.\Image\Alignment\2017\01\02\00.00.14 094\Head4.jpg
2017.01.02 00:00:15 511,TFT_SIDE5.46,0,OK,-0.0015,-0.0021,-0.0016,-0.0004,0,0,True,640.398213572491,480.181474097454,.\Image\Alignment\2017\01\02\00.00.15 511\Head1.jpg,True,640.569533117462,480.478102945188,.\Image\Alignment\2017\01\02\00.00.15 511\Head2.jpg,True,640.433703911572,482.085325694854,.\Image\Alignment\2017\01\02\00.00.15 511\Head3.jpg,True,640.105797155505,479.911201405972,.\Image\Alignment\2017\01\02\00.00.15 511\Head4.jpg
2017.01.02 00:00:35 513,TFT_SIDE5.46,90,RETRY,-0.1529,-0.1658,-0.1799,-0.1787,0.3164,0.00046,True,681.5388614907,565.17341633873,.\Image\Alignment\2017\01\02\00.00.35 513\Head1.jpg,True,683.474884071484,565.075960986694,.\Image\Alignment\2017\01\02\00.00.35 513\Head2.jpg,True,686.828058205576,565.807743675163,.\Image\Alignment\2017\01\02\00.00.35 513\Head3.jpg,True,687.870774012064,563.793196579488,.\Image\Alignment\2017\01\02\00.00.35 513\Head4.jpg
2017.01.02 00:00:37 421,TFT_SIDE5.46,90,RETRY,0,0.0036,0.0041,0.0007,0.008,-0.00029,True,639.569443273403,481.65020785715,.\Image\Alignment\2017\01\02\00.00.37 421\Head1.jpg,True,638.063455096691,482.719351053446,.\Image\Alignment\2017\01\02\00.00.37 421\Head2.jpg,True,637.933340242475,483.603058297827,.\Image\Alignment\2017\01\02\00.00.37 421\Head3.jpg,True,639.394529900287,482.457250117326,.\Image\Alignment\2017\01\02\00.00.37 421\Head4.jpg
2017.01.02 00:00:39 043,TFT_SIDE5.46,90,OK,0.0009,0.0014,0.0019,0.0005,0,0,True,639.751832548062,479.797677776239,.\Image\Alignment\2017\01\02\00.00.39 043\Head1.jpg,True,639.634357918082,480.219333098595,.\Image\Alignment\2017\01\02\00.00.39 043\Head2.jpg,True,639.483371477774,481.245540263511,.\Image\Alignment\2017\01\02\00.00.39 043\Head3.jpg,True,639.861921117655,479.953312255026,.\Image\Alignment\2017\01\02\00.00.39 043\Head4.jpg
2017.01.02 00:04:18 554,TFT_SIDE5.46,0,RETRY,-0.1667,-0.1762,-0.1919,-0.1966,0.0843,0.02273,True,724.676759252329,535.396525202172,.\Image\Alignment\2017\01\02\00.04.18 554\Head1.jpg,True,725.856087009212,512.691537708438,.\Image\Alignment\2017\01\02\00.04.18 554\Head2.jpg,True,729.923189150687,491.66573535022,.\Image\Alignment\2017\01\02\00.04.18 554\Head3.jpg,True,732.384990041106,469.847293973513,.\Image\Alignment\2017\01\02\00.04.18 554\Head4.jpg
2017.01.02 00:04:20 407,TFT_SIDE5.46,0,RETRY,0.0017,-0.0027,-0.0053,0.0025,-0.0031,0.00027,True,640.028475145336,479.577406978961,.\Image\Alignment\2017\01\02\00.04.20 407\Head1.jpg,True,638.911761041875,479.94277368331,.\Image\Alignment\2017\01\02\00.04.20 407\Head2.jpg,True,639.605264018298,480.925174416937,.\Image\Alignment\2017\01\02\00.04.20 407\Head3.jpg,True,639.813863301652,478.792626593336,.\Image\Alignment\2017\01\02\00.04.20 407\Head4.jpg
2017.01.02 00:04:22 219,TFT_SIDE5.46,0,OK,-0.0002,0.0063,0.0093,-0.0003,0,0,True,640.056809688426,480.420248288517,.\Image\Alignment\2017\01\02\00.04.22 219\Head1.jpg,True,638.31919775445,480.892273757724,.\Image\Alignment\2017\01\02\00.04.22 219\Head2.jpg,True,637.511876094895,482.435863729084,.\Image\Alignment\2017\01\02\00.04.22 219\Head3.jpg,True,640.069857784006,480.13986855144,.\Image\Alignment\2017\01\02\00.04.22 219\Head4.jpg
2017.01.02 00:04:42 071,TFT_SIDE5.46,90,RETRY,-0.0443,-0.102,-0.1146,-0.0739,0.4486,0.01269,True,670.308740330422,620.94815068631,.\Image\Alignment\2017\01\02\00.04.42 071\Head1.jpg,True,673.373099677703,606.450525744157,.\Image\Alignment\2017\01\02\00.04.42 071\Head2.jpg,True,676.220918027777,600.863909040598,.\Image\Alignment\2017\01\02\00.04.42 071\Head3.jpg,True,677.551676090071,584.951705181326,.\Image\Alignment\2017\01\02\00.04.42 071\Head4.jpg
2017.01.02 00:04:43 952,TFT_SIDE5.46,90,RETRY,-0.0064,0.0418,0.0413,-0.0053,0.0317,-0.00132,True,639.799049969837,486.239945552946,.\Image\Alignment\2017\01\02\00.04.43 952\Head1.jpg,True,627.274983203309,488.305328100921,.\Image\Alignment\2017\01\02\00.04.43 952\Head2.jpg,True,627.370965367746,489.752203946385,.\Image\Alignment\2017\01\02\00.04.43 952\Head3.jpg,True,639.461478879273,489.93582307324,.\Image\Alignment\2017\01\02\00.04.43 952\Head4.jpg
