DATETIME,RECIPE,ANGLE,ITEM,RESULT,HEAD1_FOUND,HEAD1_STANDARD_AXIS,HEAD1_RESULT_AXIS,HEAD1_RESULT,HEAD1_LENGTH,HEAD1_FILE,HEAD2_FOUND,HEAD2_STANDARD_AXIS,HEAD2_RESULT_AXIS,HEAD2_RESULT,HEAD2_LENGTH,HEAD2_FILE,HEAD3_FOUND,HEAD3_STANDARD_AXIS,HEAD3_RESULT_AXIS,HEAD3_RESULT,HEAD3_LENGTH,HEAD3_FILE,HEAD4_FOUND,HEAD4_STANDARD_AXIS,HEAD4_RESULT_AXIS,HEAD4_RESULT,HEAD4_LENGTH,HEAD4_FILE
STRING,STRING,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING
2016.11.23 08:46:46 044,TFT_SIDE5.46,90,DIRECT CUT,NG,True,1032.64,1036.01515409898,OK,0.013,.\Image\DirectCut\2016\11\23\08.46.46 044\Head1.jpg,True,665.12,661.356192478697,OK,-0.014,.\Image\DirectCut\2016\11\23\08.46.46 044\Head2.jpg,True,1063.17333333333,1070.43066956649,NG,0.027,.\Image\DirectCut\2016\11\23\08.46.46 044\Head3.jpg,True,266.426666666667,267.439409523128,OK,0.004,.\Image\DirectCut\2016\11\23\08.46.46 044\Head4.jpg
2016.11.23 08:49:20 832,TFT_SIDE5.46,90,DIRECT CUT,NG,True,1032.64,1013.4315289489,NG,-0.072,.\Image\DirectCut\2016\11\23\08.49.20 832\Head1.jpg,True,665.12,661.684700735282,OK,-0.013,.\Image\DirectCut\2016\11\23\08.49.20 832\Head2.jpg,True,1063.17333333333,1069.95323176349,OK,0.025,.\Image\DirectCut\2016\11\23\08.49.20 832\Head3.jpg,True,266.426666666667,266.996777740933,OK,0.002,.\Image\DirectCut\2016\11\23\08.49.20 832\Head4.jpg
2016.11.23 08:51:33 213,TFT_SIDE5.46,90,DIRECT CUT,OK,True,1032.64,1036.04824782189,OK,0.013,.\Image\DirectCut\2016\11\23\08.51.33 213\Head1.jpg,True,665.12,661.8843233282,OK,-0.012,.\Image\DirectCut\2016\11\23\08.51.33 213\Head2.jpg,True,1063.17333333333,1069.90174183425,OK,0.025,.\Image\DirectCut\2016\11\23\08.51.33 213\Head3.jpg,True,266.426666666667,267.358905150833,OK,0.003,.\Image\DirectCut\2016\11\23\08.51.33 213\Head4.jpg
2016.11.23 08:51:36 057,TFT_SIDE5.46,90,CROSS CUT,NG,True,1036.04824782189,336.704203186241,NG,2.623,.\Image\CrossCut\2016\11\23\08.51.36 057\Head1.jpg,False,,,NG,,.\Image\CrossCut\2016\11\23\08.51.36 057\Head2.jpg,False,,,NG,,.\Image\CrossCut\2016\11\23\08.51.36 057\Head3.jpg,True,267.358905150833,275.433622196757,OK,-0.03,.\Image\CrossCut\2016\11\23\08.51.36 057\Head4.jpg
2016.11.23 08:54:33 836,TFT_SIDE5.46,90,DIRECT CUT,OK,True,1032.64,1035.86512837215,OK,0.012,.\Image\DirectCut\2016\11\23\08.54.33 836\Head1.jpg,True,665.12,661.1427159106,OK,-0.015,.\Image\DirectCut\2016\11\23\08.54.33 836\Head2.jpg,True,1063.17333333333,1069.6931858034,OK,0.024,.\Image\DirectCut\2016\11\23\08.54.33 836\Head3.jpg,True,266.426666666667,266.888559257143,OK,0.002,.\Image\DirectCut\2016\11\23\08.54.33 836\Head4.jpg
2016.11.23 08:54:36 633,TFT_SIDE5.46,90,CROSS CUT,OK,True,1035.86512837215,1046.66057623033,OK,-0.04,.\Image\CrossCut\2016\11\23\08.54.36 633\Head1.jpg,True,661.1427159106,669.342280815536,OK,-0.031,.\Image\CrossCut\2016\11\23\08.54.36 633\Head2.jpg,True,1069.6931858034,1072.90409191948,OK,-0.012,.\Image\CrossCut\2016\11\23\08.54.36 633\Head3.jpg,True,266.888559257143,275.412670903668,OK,-0.032,.\Image\CrossCut\2016\11\23\08.54.36 633\Head4.jpg
2016.11.23 08:55:42 574,TFT_SIDE5.46,0,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2016\11\23\08.55.42 574\Head1.jpg,False,,,NG,,.\Image\DirectCut\2016\11\23\08.55.42 574\Head2.jpg,False,,,NG,,.\Image\DirectCut\2016\11\23\08.55.42 574\Head3.jpg,False,,,NG,,.\Image\DirectCut\2016\11\23\08.55.42 574\Head4.jpg
2016.11.23 08:57:27 779,TFT_SIDE5.46,0,DIRECT CUT,NG,True,1032.64,1035.0451410509,OK,0.009,.\Image\DirectCut\2016\11\23\08.57.27 779\Head1.jpg,False,,,NG,,.\Image\DirectCut\2016\11\23\08.57.27 779\Head2.jpg,False,,,NG,,.\Image\DirectCut\2016\11\23\08.57.27 779\Head3.jpg,True,266.426666666667,266.23931670082,OK,-0.001,.\Image\DirectCut\2016\11\23\08.57.27 779\Head4.jpg
2016.11.23 08:58:23 688,TFT_SIDE5.46,90,DIRECT CUT,OK,True,1032.64,1035.99150324521,OK,0.013,.\Image\DirectCut\2016\11\23\08.58.23 688\Head1.jpg,True,665.12,661.182670075005,OK,-0.015,.\Image\DirectCut\2016\11\23\08.58.23 688\Head2.jpg,True,1063.17333333333,1069.7399873346,OK,0.025,.\Image\DirectCut\2016\11\23\08.58.23 688\Head3.jpg,True,266.426666666667,266.846017866263,OK,0.002,.\Image\DirectCut\2016\11\23\08.58.23 688\Head4.jpg
2016.11.23 08:58:26 550,TFT_SIDE5.46,90,CROSS CUT,OK,True,1035.99150324521,1046.75649102665,OK,-0.04,.\Image\CrossCut\2016\11\23\08.58.26 550\Head1.jpg,True,661.182670075005,669.362863186781,OK,-0.031,.\Image\CrossCut\2016\11\23\08.58.26 550\Head2.jpg,True,1069.7399873346,1072.89214247069,OK,-0.012,.\Image\CrossCut\2016\11\23\08.58.26 550\Head3.jpg,True,266.846017866263,275.540790713888,OK,-0.033,.\Image\CrossCut\2016\11\23\08.58.26 550\Head4.jpg
2016.11.23 09:00:11 345,TFT_SIDE5.46,0,DIRECT CUT,OK,True,1032.64,1034.05508666993,OK,0.005,.\Image\DirectCut\2016\11\23\09.00.11 345\Head1.jpg,,,,,,,,,,,,,True,266.426666666667,264.852961872213,OK,-0.006,.\Image\DirectCut\2016\11\23\09.00.11 345\Head4.jpg
2016.11.23 09:00:14 639,TFT_SIDE5.46,0,CROSS CUT,NG,True,1034.05508666993,60.5822132328867,NG,3.651,.\Image\CrossCut\2016\11\23\09.00.14 639\Head1.jpg,,,,,,,,,,,,,False,,,NG,,.\Image\CrossCut\2016\11\23\09.00.14 639\Head4.jpg
2016.11.23 09:02:13 017,TFT_SIDE5.46,0,DIRECT CUT,OK,True,1032.64,1035.19904039243,OK,0.01,.\Image\DirectCut\2016\11\23\09.02.13 017\Head1.jpg,,,,,,,,,,,,,True,266.426666666667,265.747230510623,OK,-0.003,.\Image\DirectCut\2016\11\23\09.02.13 017\Head4.jpg
2016.11.23 09:02:16 373,TFT_SIDE5.46,0,CROSS CUT,OK,True,1035.19904039243,1043.57320958186,OK,-0.031,.\Image\CrossCut\2016\11\23\09.02.16 373\Head1.jpg,,,,,,,,,,,,,True,265.747230510623,274.084179805505,OK,-0.031,.\Image\CrossCut\2016\11\23\09.02.16 373\Head4.jpg
2016.11.23 09:03:01 527,TFT_SIDE5.46,90,DIRECT CUT,OK,True,1032.64,1035.97497959718,OK,0.013,.\Image\DirectCut\2016\11\23\09.03.01 527\Head1.jpg,True,665.12,661.578287196681,OK,-0.013,.\Image\DirectCut\2016\11\23\09.03.01 527\Head2.jpg,True,1063.17333333333,1070.71338859227,OK,0.028,.\Image\DirectCut\2016\11\23\09.03.01 527\Head3.jpg,True,266.426666666667,266.791835395178,OK,0.001,.\Image\DirectCut\2016\11\23\09.03.01 527\Head4.jpg
2016.11.23 09:03:04 423,TFT_SIDE5.46,90,CROSS CUT,OK,True,1035.97497959718,1046.84907024025,OK,-0.041,.\Image\CrossCut\2016\11\23\09.03.04 423\Head1.jpg,True,661.578287196681,669.80499410808,OK,-0.031,.\Image\CrossCut\2016\11\23\09.03.04 423\Head2.jpg,True,1070.71338859227,1073.10327380362,OK,-0.009,.\Image\CrossCut\2016\11\23\09.03.04 423\Head3.jpg,True,266.791835395178,275.607959714964,OK,-0.033,.\Image\CrossCut\2016\11\23\09.03.04 423\Head4.jpg
2016.11.23 09:03:45 157,TFT_SIDE5.46,0,DIRECT CUT,OK,True,1032.64,1034.39452040023,OK,0.007,.\Image\DirectCut\2016\11\23\09.03.45 157\Head1.jpg,,,,,,,,,,,,,True,266.426666666667,265.3319078072,OK,-0.004,.\Image\DirectCut\2016\11\23\09.03.45 157\Head4.jpg
2016.11.23 09:03:48 426,TFT_SIDE5.46,0,CROSS CUT,OK,True,1034.39452040023,1044.55612310232,OK,-0.038,.\Image\CrossCut\2016\11\23\09.03.48 426\Head1.jpg,,,,,,,,,,,,,True,265.3319078072,275.409191230304,OK,-0.038,.\Image\CrossCut\2016\11\23\09.03.48 426\Head4.jpg
2016.11.23 09:05:00 696,TFT_SIDE5.46,90,DIRECT CUT,OK,True,1032.64,1036.37832241888,OK,0.014,.\Image\DirectCut\2016\11\23\09.05.00 696\Head1.jpg,True,665.12,661.86671788259,OK,-0.012,.\Image\DirectCut\2016\11\23\09.05.00 696\Head2.jpg,True,1063.17333333333,1070.84858559966,OK,0.029,.\Image\DirectCut\2016\11\23\09.05.00 696\Head3.jpg,True,266.426666666667,267.162626133704,OK,0.003,.\Image\DirectCut\2016\11\23\09.05.00 696\Head4.jpg
2016.11.23 09:05:35 068,TFT_SIDE5.46,0,DIRECT CUT,OK,True,1032.64,1034.51509898731,OK,0.007,.\Image\DirectCut\2016\11\23\09.05.35 068\Head1.jpg,,,,,,,,,,,,,True,266.426666666667,264.870845730087,OK,-0.006,.\Image\DirectCut\2016\11\23\09.05.35 068\Head4.jpg
2016.11.23 09:05:38 386,TFT_SIDE5.46,0,CROSS CUT,OK,True,1034.51509898731,1044.5997781357,OK,-0.038,.\Image\CrossCut\2016\11\23\09.05.38 386\Head1.jpg,,,,,,,,,,,,,True,264.870845730087,275.374311529174,OK,-0.039,.\Image\CrossCut\2016\11\23\09.05.38 386\Head4.jpg
2016.11.23 09:06:00 989,TFT_SIDE5.46,90,DIRECT CUT,OK,True,1032.64,1036.00303398217,OK,0.013,.\Image\DirectCut\2016\11\23\09.06.00 989\Head1.jpg,True,665.12,661.234373870126,OK,-0.015,.\Image\DirectCut\2016\11\23\09.06.00 989\Head2.jpg,True,1063.17333333333,1069.95696688408,OK,0.025,.\Image\DirectCut\2016\11\23\09.06.00 989\Head3.jpg,True,266.426666666667,266.926283863529,OK,0.002,.\Image\DirectCut\2016\11\23\09.06.00 989\Head4.jpg
2016.11.23 09:06:03 821,TFT_SIDE5.46,90,CROSS CUT,OK,True,1036.00303398217,1046.9415122153,OK,-0.041,.\Image\CrossCut\2016\11\23\09.06.03 821\Head1.jpg,True,661.234373870126,669.55928327841,OK,-0.031,.\Image\CrossCut\2016\11\23\09.06.03 821\Head2.jpg,True,1069.95696688408,1072.57516107588,OK,-0.01,.\Image\CrossCut\2016\11\23\09.06.03 821\Head3.jpg,True,266.926283863529,276.00574745552,OK,-0.034,.\Image\CrossCut\2016\11\23\09.06.03 821\Head4.jpg
