DATETIME,RECIPE,ANGLE,RESULT,MOVEMENT_HEAD1_X,MOVEMENT_HEAD2_X,MOVEMENT_HEAD3_X,MOVEMENT_HEAD4_X,MOVEMENT_Y,MOVEMENT_T,HEAD1_RESULT,HEAD1_PIXEL_X,HEAD1_PIXEL_Y,HEAD1_FILE,HEAD2_RESULT,HEAD2_PIXEL_X,HEAD2_PIXEL_Y,HEAD2_FILE,HEAD3_RESULT,HEAD3_PIXEL_X,HEAD3_PIXEL_Y,HEAD3_FILE,HEAD4_RESULT,HEAD4_PIXEL_X,HEAD4_PIXEL_Y,HEAD4_FILE
STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING
2017.02.27 00:06:20 144,TFT_SIDE5.46,0,RETRY,-0.7116,-0.7558,-0.889,-0.7777,0.4578,0.01766,True,861.328359158171,627.689822434916,.\Image\Alignment\2017\02\27\00.06.20 144\Head1.jpg,True,862.638059121175,625.021881155408,.\Image\Alignment\2017\02\27\00.06.20 144\Head2.jpg,True,897.361697224881,614.003234630243,.\Image\Alignment\2017\02\27\00.06.20 144\Head3.jpg,True,877.609506158944,577.139082689652,.\Image\Alignment\2017\02\27\00.06.20 144\Head4.jpg
2017.02.27 00:06:22 090,TFT_SIDE5.46,0,RETRY,-0.0316,0.0126,0.0139,-0.0272,0.0312,-0.00469,True,640.161143596808,481.531635487573,.\Image\Alignment\2017\02\27\00.06.22 090\Head1.jpg,True,630.907856300363,490.514394892957,.\Image\Alignment\2017\02\27\00.06.22 090\Head2.jpg,True,630.509764280232,493.626446423222,.\Image\Alignment\2017\02\27\00.06.22 090\Head3.jpg,True,638.916104243955,495.115187007708,.\Image\Alignment\2017\02\27\00.06.22 090\Head4.jpg
2017.02.27 00:06:23 901,TFT_SIDE5.46,0,RETRY,0.0005,0.002,0.0013,0.0005,0.0004,0.00014,True,640.110449154789,480.310702776045,.\Image\Alignment\2017\02\27\00.06.23 901\Head1.jpg,True,642.628791191819,484.640398324503,.\Image\Alignment\2017\02\27\00.06.23 901\Head2.jpg,True,642.802527836938,482.920800695228,.\Image\Alignment\2017\02\27\00.06.23 901\Head3.jpg,True,640.103625644687,479.901294997226,.\Image\Alignment\2017\02\27\00.06.23 901\Head4.jpg
2017.02.27 00:06:25 687,TFT_SIDE5.46,0,RETRY,0.001,-0.0109,-0.011,-0.0006,0,0,True,639.735327589639,479.651812404718,.\Image\Alignment\2017\02\27\00.06.25 687\Head1.jpg,True,642.912370092532,484.254504835581,.\Image\Alignment\2017\02\27\00.06.25 687\Head2.jpg,True,642.934105476991,482.556201181664,.\Image\Alignment\2017\02\27\00.06.25 687\Head3.jpg,True,640.153455868929,479.580097684986,.\Image\Alignment\2017\02\27\00.06.25 687\Head4.jpg
2017.02.27 00:06:27 105,TFT_SIDE5.46,0,OK,0.001,0.0013,0.0034,0.0033,0,0,True,639.732698483965,479.647502767783,.\Image\Alignment\2017\02\27\00.06.27 105\Head1.jpg,True,639.642078773732,483.975326188755,.\Image\Alignment\2017\02\27\00.06.27 105\Head2.jpg,True,639.097255392558,482.079585238704,.\Image\Alignment\2017\02\27\00.06.27 105\Head3.jpg,True,639.133274777805,479.56615818368,.\Image\Alignment\2017\02\27\00.06.27 105\Head4.jpg
2017.02.27 00:06:45 911,TFT_SIDE5.46,90,RETRY,-0.4793,-0.4891,-0.6178,-0.5405,-0.1251,0.00184,True,770.629315380188,449.587676792323,.\Image\Alignment\2017\02\27\00.06.45 911\Head1.jpg,True,773.232170677043,454.17492056606,.\Image\Alignment\2017\02\27\00.06.45 911\Head2.jpg,True,807.421174396423,451.744764860351,.\Image\Alignment\2017\02\27\00.06.45 911\Head3.jpg,True,786.678703067412,445.264493678793,.\Image\Alignment\2017\02\27\00.06.45 911\Head4.jpg
2017.02.27 00:06:47 790,TFT_SIDE5.46,90,RETRY,-0.0047,0.0065,0.0084,-0.0046,0.012,-0.00079,True,640.096105716493,481.886727614555,.\Image\Alignment\2017\02\27\00.06.47 790\Head1.jpg,True,640.510748246344,487.348165255808,.\Image\Alignment\2017\02\27\00.06.47 790\Head2.jpg,True,639.984030254137,485.297469041824,.\Image\Alignment\2017\02\27\00.06.47 790\Head3.jpg,True,640.068012150911,484.108711402985,.\Image\Alignment\2017\02\27\00.06.47 790\Head4.jpg
2017.02.27 00:06:49 614,TFT_SIDE5.46,90,RETRY,0.0008,0.0002,-0.0028,0.0002,-0.0025,0.00021,True,640.09939883256,479.69518996707,.\Image\Alignment\2017\02\27\00.06.49 614\Head1.jpg,True,643.08556843327,484.32627020114,.\Image\Alignment\2017\02\27\00.06.49 614\Head2.jpg,True,643.875183731057,481.456527524139,.\Image\Alignment\2017\02\27\00.06.49 614\Head3.jpg,True,640.258857602947,479.105368667283,.\Image\Alignment\2017\02\27\00.06.49 614\Head4.jpg
2017.02.27 00:06:51 302,TFT_SIDE5.46,90,RETRY,0.0001,-0.0117,-0.0103,0.0006,0,0,True,639.973885180713,480.279050366384,.\Image\Alignment\2017\02\27\00.06.51 302\Head1.jpg,True,643.126385324871,485.127865738839,.\Image\Alignment\2017\02\27\00.06.51 302\Head2.jpg,True,642.739986583992,482.51010759524,.\Image\Alignment\2017\02\27\00.06.51 302\Head3.jpg,True,639.852608801387,480.204368338308,.\Image\Alignment\2017\02\27\00.06.51 302\Head4.jpg
